start_time_utc,end_time_utc,phase,env,build_id,duration_seconds,exit_code,flags,log_path
2025-12-26T04:21:39Z,2025-12-26T04:21:40Z,terraform-apply,dev,26-12-25-02,1,1,,logs/build-timings/dev-goldenpath-dev-eks-26-12-25-02-20251226T042139Z.log
2025-12-26T04:40:53Z,2025-12-26T04:41:08Z,terraform-apply,dev,26-12-25-02,15,1,,logs/build-timings/dev-goldenpath-dev-eks-26-12-25-02-20251226T044053Z.log
2025-12-26T04:47:38Z,2025-12-26T05:02:34Z,terraform-apply,dev,26-12-25-03,896,0,,logs/build-timings/dev-goldenpath-dev-eks-26-12-25-03-20251226T044738Z.log
2025-12-26T07:42:03Z,2025-12-26T07:51:12Z,teardown,dev,26-12-25-03,549,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-26-12-25-03-26-12-25-03-20251226T074203Z.log
2025-12-26T13:02:48Z,2025-12-26T13:18:53Z,terraform-apply,dev,26-12-25-03,965,0,,logs/build-timings/dev-goldenpath-dev-eks-26-12-25-03-20251226T130248Z.log
2025-12-26T13:33:01Z,2025-12-26T13:42:18Z,teardown,dev,26-12-25-03,557,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-26-12-25-03-26-12-25-03-20251226T133301Z.log
2025-12-26T18:13:13Z,2025-12-26T18:30:37Z,terraform-apply,dev,26-12-25-03,1044,0,,logs/build-timings/dev-goldenpath-dev-eks-26-12-25-03-20251226T181313Z.log
2025-12-28T07:02:53Z,2025-12-28T07:02:56Z,teardown,dev,26-12-25-03,3,1,,logs/build-timings/teardown-dev-goldenpath-dev-eks-26-12-25-03-26-12-25-03-20251228T070253Z.log
2025-12-28T07:05:53Z,2025-12-28T07:05:56Z,teardown,dev,26-12-25-03,3,1,,logs/build-timings/teardown-dev-goldenpath-dev-eks-26-12-25-03-26-12-25-03-20251228T070553Z.log
2025-12-28T07:08:31Z,2025-12-28T07:08:34Z,teardown,dev,26-12-25-03,3,1,,logs/build-timings/teardown-dev-goldenpath-dev-eks-26-12-25-03-26-12-25-03-20251228T070831Z.log
2025-12-28T07:08:44Z,2025-12-28T07:08:47Z,teardown,dev,26-12-25-03,3,1,,logs/build-timings/teardown-dev-goldenpath-dev-eks-26-12-25-03-26-12-25-03-20251228T070844Z.log
2026-01-01T04:01:57Z,2026-01-01T04:13:37Z,teardown,dev,31-12-25-04,700,0,,logs/build-timings/teardown-dev-goldenpath-dev-eks-31-12-25-04-31-12-25-04-20260101T040157Z.log
2026-01-17T12:40:17Z,2026-01-17T12:44:53Z,teardown,dev,15-01-26-15,276,0,0,0,0,https://github.com/mikeybeezy/goldenpath-idp-infra/actions/runs/21094419271
2026-01-17T17:13:03Z,2026-01-17T17:15:08Z,teardown,dev,17-01-26-01 ,125,0,0,0,0,https://github.com/mikeybeezy/goldenpath-idp-infra/actions/runs/21097953296
2026-01-17T17:16:47Z,2026-01-17T17:16:47Z,teardown,dev,17-01-26-012,0,1,0,0,0,https://github.com/mikeybeezy/goldenpath-idp-infra/actions/runs/21098026103
2026-01-17T17:19:15Z,2026-01-17T17:32:11Z,teardown,dev,17-01-26-02,776,0,0,0,0,https://github.com/mikeybeezy/goldenpath-idp-infra/actions/runs/21098058534
